date,home_sigla,home_team,away_sigla,away_team,home_score,away_score
2003-08-20,BEL,Belgium,NED,Netherlands,1,1
2003-08-20,ENG,England,CRO,Croatia,3,1
2003-08-20,NOR,Norway,SCO,Scotland,0,0
2003-08-20,PAN,Panama,PAR,Paraguay,1,2
2003-08-20,SUI,Switzerland,FRA,France,0,2
2003-08-26,JOR,Jordan,IRQ,Iraq,2,1
2003-09-04,ALG,Algeria,QAT,Qatar,1,0
2003-09-05,IRN,Iran,JOR,Jordan,4,1
2003-09-06,BIH,Bosnia and Herzegovina,NOR,Norway,1,0
2003-09-06,NED,Netherlands,AUT,Austria,3,1
2003-09-06,POR,Portugal,ESP,Spain,0,3
2003-09-07,COL,Colombia,BRA,Brazil,1,2
2003-09-10,BEL,Belgium,CRO,Croatia,2,1
2003-09-10,BRA,Brazil,ECU,Ecuador,1,0
2003-09-10,CZE,Czech Republic,NED,Netherlands,3,1
2003-09-10,GER,Germany,SCO,Scotland,2,1
2003-09-10,JPN,Japan,SEN,Senegal,0,1
2003-09-10,NOR,Norway,POR,Portugal,0,1
2003-09-10,PAR,Paraguay,URU,Uruguay,4,1
