date,home_sigla,home_team,away_sigla,away_team,home_score,away_score
2000-09-03,URU,Uruguay,ECU,Ecuador,4,0
2000-09-20,MEX,Mexico,ECU,Ecuador,2,0
2000-09-27,QAT,Qatar,IRN,Iran,1,2
2000-10-02,JOR,Jordan,KSA,Saudi Arabia,1,0
2000-10-02,QAT,Qatar,EGY,Egypt,0,1
2000-10-07,AUS,Australia,KOR,South Korea,2,4
2000-10-07,COL,Colombia,PAR,Paraguay,0,2
2000-10-07,ENG,England,GER,Germany,0,1
2000-10-07,RSA,South Africa,FRA,France,0,0
2000-10-07,SWE,Sweden,TUR,Turkey,1,1
2000-10-08,ARG,Argentina,URU,Uruguay,2,1
2000-10-09,CAN,Canada,PAN,Panama,1,0
2000-10-11,AUT,Austria,ESP,Spain,1,1
2000-10-11,CRO,Croatia,SCO,Scotland,1,1
2000-10-11,NED,Netherlands,POR,Portugal,0,2
2000-10-14,QAT,Qatar,UZB,Uzbekistan,1,1
2000-10-14,KSA,Saudi Arabia,JPN,Japan,1,4
2000-10-17,JPN,Japan,UZB,Uzbekistan,8,1
2000-10-17,KSA,Saudi Arabia,QAT,Qatar,0,0
2000-10-18,IRN,Iran,IRQ,Iraq,1,0
2000-10-20,JPN,Japan,QAT,Qatar,1,1
2000-10-20,KSA,Saudi Arabia,UZB,Uzbekistan,5,0
2000-10-23,IRN,Iran,KOR,South Korea,1,2
2000-10-24,JPN,Japan,IRQ,Iraq,4,1
2000-10-25,USA,United States,MEX,Mexico,2,0
2000-10-26,KOR,South Korea,KSA,Saudi Arabia,1,2
2000-10-29,JPN,Japan,KSA,Saudi Arabia,1,0
2000-11-15,BRA,Brazil,COL,Colombia,1,0
2000-11-15,CAN,Canada,MEX,Mexico,0,0
2000-11-15,SCO,Scotland,AUS,Australia,0,2
2000-11-15,ESP,Spain,NED,Netherlands,1,2
2000-11-15,TUN,Tunisia,SUI,Switzerland,1,1
2000-11-15,TUR,Turkey,FRA,France,0,4
2000-12-20,JPN,Japan,KOR,South Korea,1,1
2000-12-20,MEX,Mexico,ARG,Argentina,0,2
2001-01-13,TUN,Tunisia,MAR,Morocco,0,1
2001-01-14,COD,DR Congo,GHA,Ghana,2,1
2001-01-24,KOR,South Korea,NOR,Norway,2,3
2001-01-27,KOR,South Korea,PAR,Paraguay,1,1
2001-01-28,EGY,Egypt,MAR,Morocco,0,0
2001-01-31,MEX,Mexico,COL,Colombia,2,3
2001-02-03,USA,United States,COL,Colombia,0,1
2001-02-08,MAR,Morocco,KOR,South Korea,1,1
2001-02-14,SWE,Sweden,QAT,Qatar,0,0
2001-02-24,MAR,Morocco,SEN,Senegal,0,0
2001-02-25,TUN,Tunisia,COD,DR Congo,6,0
2001-02-27,FRA,France,GER,Germany,1,0
2001-02-28,COL,Colombia,AUS,Australia,3,2
2001-02-28,CRO,Croatia,AUT,Austria,1,0
2001-02-28,ENG,England,ESP,Spain,3,0
2001-02-28,NED,Netherlands,TUR,Turkey,0,0
2001-02-28,USA,United States,MEX,Mexico,2,0
2001-03-03,USA,United States,BRA,Brazil,1,2
2001-03-07,MEX,Mexico,BRA,Brazil,3,3
2001-03-10,COD,DR Congo,CIV,Ivory Coast,1,2
2001-03-11,EGY,Egypt,ALG,Algeria,5,2
2001-03-24,BIH,Bosnia and Herzegovina,AUT,Austria,1,1
2001-03-24,FRA,France,JPN,Japan,5,0
2001-03-24,MAR,Morocco,TUN,Tunisia,2,0
2001-03-24,SCO,Scotland,BEL,Belgium,2,2
2001-03-25,GHA,Ghana,COD,DR Congo,3,0
2001-03-28,ECU,Ecuador,BRA,Brazil,1,0
